,
Device,Instance,Datapoint,Start,End,Min,Max,Average,Change(%),Change(Delta)
dealerspike (dealerspike.logicmonitor.com),_Customer Success-dealerspike,planCommitPercent,144.00,144.00,140.00,148.00,142.46,0.00,0.00
defoxx (defoxx.logicmonitor.com),_Customer Success-defoxx,planCommitPercent,96.00,92.00,90.00,96.00,92.22,-4.17,-4.00
directnic (directnic.logicmonitor.com),_Customer Success-directnic,planCommitPercent,72.00,72.00,72.00,72.00,72.00,0.00,0.00
dis (dis.logicmonitor.com),_Customer Success-dis,planCommitPercent,64.00,80.00,64.00,80.00,75.53,25.00,16.00
district96 (district96.logicmonitor.com),_Customer Success-district96,planCommitPercent,76.00,76.00,76.00,76.00,76.00,0.00,0.00
doctorlogic (doctorlogic.logicmonitor.com),_Customer Success-doctorlogic,planCommitPercent,92.00,92.00,92.00,92.00,92.00,0.00,0.00
dollarshaveclub (dollarshaveclub.logicmonitor.com),_Customer Success-dollarshaveclub,planCommitPercent,48.00,48.00,48.00,48.00,48.00,0.00,0.00
dpconsulting (dpconsulting.logicmonitor.com),_Customer Success-dpconsulting,planCommitPercent,64.00,64.00,64.00,64.00,64.00,0.00,0.00
eglp (eglp.logicmonitor.com),_Customer Success-eglp,planCommitPercent,32.00,32.00,32.00,32.00,32.00,0.00,0.00
eis (eis.logicmonitor.com),_Customer Success-eis,planCommitPercent,48.00,48.00,48.00,48.00,48.00,0.00,0.00
elmtree (elmtree.logicmonitor.com),_Customer Success-elmtree,planCommitPercent,132.00,68.00,68.00,132.00,89.78,-48.48,-64.00
emds (emds.logicmonitor.com),_Customer Success-emds,planCommitPercent,96.00,112.00,96.00,114.00,108.83,16.67,16.00
epra (epra.logicmonitor.com),_Customer Success-epra,planCommitPercent,48.00,48.00,48.00,48.00,48.00,0.00,0.00
erifco (erifco.logicmonitor.com),_Customer Success-erifco,planCommitPercent,60.00,60.00,60.00,60.00,60.00,0.00,0.00
esl (esl.logicmonitor.com),_Customer Success-esl,planCommitPercent,76.00,76.00,76.00,76.00,76.00,0.00,0.00
espoc (espoc.logicmonitor.com),_Customer Success-espoc,planCommitPercent,108.00,112.00,108.00,112.00,109.09,3.70,4.00
evidation (evidation.logicmonitor.com),_Customer Success-evidation,planCommitPercent,112.00,116.00,112.00,116.00,113.80,3.57,4.00
exlibrisgroup (exlibrisgroup.logicmonitor.com),_Customer Success-exlibrisgroup,planCommitPercent,0.00,0.00,0.00,0.00,0.00,No Data,0.00
exosolutions (exosolutions.logicmonitor.com),_Customer Success-exosolutions,planCommitPercent,56.00,56.00,56.00,56.00,56.00,0.00,0.00
extremeplasticsplus (extremeplasticsplus.logicmonitor.com),_Customer Success-extremeplasticsplus,planCommitPercent,76.00,76.00,38.00,76.00,75.92,0.00,0.00
farwestcapital (farwestcapital.logicmonitor.com),_Customer Success-farwestcapital,planCommitPercent,68.00,68.00,68.00,68.00,68.00,0.00,0.00
feb (feb.logicmonitor.com),_Customer Success-feb,planCommitPercent,28.00,28.00,0.00,28.00,27.27,0.00,0.00
fhpaschen (fhpaschen.logicmonitor.com),_Customer Success-fhpaschen,planCommitPercent,100.00,100.00,100.00,100.00,100.00,0.00,0.00
firstbankers (firstbankers.logicmonitor.com),_Customer Success-firstbankers,planCommitPercent,40.00,40.00,40.00,40.00,40.00,0.00,0.00
foodfly (foodfly.logicmonitor.com),_Customer Success-foodfly,planCommitPercent,24.00,24.00,24.00,24.00,24.00,0.00,0.00
forensicfluids (forensicfluids.logicmonitor.com),_Customer Success-forensicfluids,planCommitPercent,84.00,80.00,80.00,84.00,81.02,-4.76,-4.00
forwardadvantage (forwardadvantage.logicmonitor.com),_Customer Success-forwardadvantage,planCommitPercent,112.00,112.00,112.00,112.00,112.00,0.00,0.00
freshenterprises (freshenterprises.logicmonitor.com),_Customer Success-freshenterprises,planCommitPercent,64.00,64.00,64.00,64.00,64.00,0.00,0.00
goddardsystems (goddardsystems.logicmonitor.com),_Customer Success-goddardsystems,planCommitPercent,72.00,72.00,72.00,72.00,72.00,0.00,0.00
grandriverbank (grandriverbank.logicmonitor.com),_Customer Success-grandriverbank,planCommitPercent,92.00,92.00,92.00,92.00,92.00,0.00,0.00
hapusa (hapusa.logicmonitor.com),_Customer Success-hapusa,planCommitPercent,40.00,40.00,40.00,40.00,40.00,0.00,0.00
hazlettburt (hazlettburt.logicmonitor.com),_Customer Success-hazlettburt,planCommitPercent,108.00,108.00,108.00,108.00,108.00,0.00,0.00
healthmaster (healthmaster.logicmonitor.com),_Customer Success-healthmaster,planCommitPercent,92.00,88.00,88.00,92.00,88.13,-4.35,-4.00
help4seniors (help4seniors.logicmonitor.com),_Customer Success-help4seniors,planCommitPercent,36.00,36.00,36.00,36.00,36.00,0.00,0.00
helpwithasmile (helpwithasmile.logicmonitor.com),_Customer Success-helpwithasmile,planCommitPercent,96.00,84.00,84.00,96.00,89.76,-12.50,-12.00
howardhanna (howardhanna.logicmonitor.com),_Customer Success-howardhanna,planCommitPercent,76.00,76.00,76.00,76.00,76.00,0.00,0.00
ht (ht.logicmonitor.com),_Customer Success-ht,planCommitPercent,84.00,84.00,84.00,84.00,84.00,0.00,0.00
hts (hts.logicmonitor.com),_Customer Success-hts,planCommitPercent,128.00,96.00,96.00,128.00,112.99,-25.00,-32.00
hwalmonds (hwalmonds.logicmonitor.com),_Customer Success-hwalmonds,planCommitPercent,68.00,68.00,68.00,68.00,68.00,0.00,0.00
ia (ia.logicmonitor.com),_Customer Success-ia,planCommitPercent,16.00,16.00,16.00,16.00,16.00,0.00,0.00
ideacraft (ideacraft.logicmonitor.com),_Customer Success-ideacraft,planCommitPercent,32.00,32.00,32.00,32.00,32.00,0.00,0.00
ignify (ignify.logicmonitor.com),_Customer Success-ignify,planCommitPercent,60.00,92.00,60.00,92.00,89.42,53.33,32.00
infinata (infinata.logicmonitor.com),_Customer Success-infinata,planCommitPercent,28.00,28.00,28.00,28.00,28.00,0.00,0.00
insidesource (insidesource.logicmonitor.com),_Customer Success-insidesource,planCommitPercent,108.00,108.00,108.00,108.00,108.00,0.00,0.00
